Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
humanGuppyOldManAlive,entityclasses,Entity,,Human Old Man,,,,,
zombieGuppyOldManInfected,entityclasses,Entity,,Infected Old Man,,,,,
zombieGuppyOldManZombie,entityclasses,Entity,,Zombie Old Man,,,,,
humanGuppySophiaAlive,entityclasses,Entity,,Human Sophia,,,,,
humanGuppyArmoredMan01,entityclasses,Entity,,Human Armored Man 01,,,,,
zombieGuppyBiomechMutant01,entityclasses,Entity,,Armored Zombie Wight Experiment,,,,,
humanGuppyMalePatient01,entityclasses,Entity,,Human Man Patient 01,,,,,
humanGuppyThugBandit01,entityclasses,Entity,,Human Man Thug 01,,,,,
humanGuppyThugBandit02,entityclasses,Entity,,Human Man Thug 02,,,,,
humanGuppyThugBandit03,entityclasses,Entity,,Human Man Thug 03,,,,,
zombieGuppyRomero01,entityclasses,Entity,,zombie Guppy Romero01,,,,,
zombieGuppyBlackCop01,entityclasses,Entity,,zombie Guppy BlackCop01,,,,,
humanGuppyHero01,entityclasses,Entity,,human GuppyHero01,,,,,
humanGuppyJapaneseNinja02,entityclasses,Entity,,human Guppy Japanese Ninja02,,,,,
humanGuppyTrader01,entityclasses,Entity,,human Guppy Trader01,,,,,
